               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05478,            0.014541,                   0,             0.96025,             0.97395,             0.98549,             0.59948,            0.018444,           0.0034396,                   0,            0.070044,           0.0033285,           0.0033285
                   1,            0.033318,           0.0079865,                   0,             0.98842,             0.98811,             0.99329,             0.65411,            0.016591,           0.0023364,                   0,            0.039824,            0.006442,            0.006442
                   2,            0.029664,           0.0061141,                   0,             0.98924,             0.98872,             0.99332,             0.73868,            0.013875,           0.0019779,                   0,            0.009384,           0.0093355,           0.0093355
                   3,            0.025383,           0.0050018,                   0,             0.99036,              0.9885,             0.99447,             0.82057,             0.01111,           0.0016518,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.022256,           0.0043124,                   0,              0.9932,             0.99196,              0.9946,             0.83102,             0.01159,           0.0015998,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.019483,           0.0038428,                   0,               0.991,             0.99709,             0.99477,             0.84947,           0.0093352,           0.0013947,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.018686,           0.0036763,                   0,             0.99491,             0.99709,             0.99485,             0.85993,           0.0093002,           0.0013886,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.017662,           0.0035069,                   0,             0.99539,             0.99773,             0.99478,              0.8577,           0.0087896,           0.0013533,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.017036,           0.0034185,                   0,             0.99653,             0.99773,             0.99468,             0.86946,            0.008554,            0.001338,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.016189,           0.0033528,                   0,              0.9949,             0.99887,             0.99493,             0.87074,           0.0084597,           0.0012828,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.015886,           0.0032501,                   0,             0.99604,             0.99756,             0.99484,             0.87278,           0.0080946,           0.0012951,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.015431,           0.0031691,                   0,             0.99688,              0.9966,             0.99483,             0.87668,           0.0081234,            0.001227,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.015103,           0.0031519,                   0,             0.99605,             0.99881,             0.99488,             0.87543,            0.007934,           0.0012154,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.014774,           0.0031175,                   0,             0.99717,             0.99807,             0.99487,             0.88175,           0.0080432,           0.0011847,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.014544,           0.0030739,                   0,             0.99818,             0.99773,             0.99487,             0.88387,           0.0077596,           0.0011594,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.014179,           0.0030069,                   0,             0.99543,             0.99943,             0.99491,             0.88174,           0.0077159,           0.0011731,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.014087,           0.0029916,                   0,             0.99644,             0.99717,             0.99484,             0.88779,           0.0077772,           0.0011777,                   0,             0.00505,             0.00505,             0.00505
                  17,             0.01364,            0.002933,                   0,             0.99793,             0.99773,             0.99489,             0.89063,           0.0075884,           0.0011302,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.013361,              0.0029,                   0,             0.99772,              0.9983,             0.99491,             0.89385,           0.0073668,           0.0011637,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.013187,            0.002828,                   0,             0.99759,             0.99604,             0.99488,             0.89381,           0.0074115,           0.0011261,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.013112,           0.0028109,                   0,             0.99661,             0.99819,              0.9949,             0.89542,             0.00716,           0.0011239,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.012973,           0.0028217,                   0,              0.9977,              0.9983,             0.99483,             0.89443,           0.0072051,           0.0011102,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.012556,           0.0027798,                   0,              0.9983,             0.99829,             0.99485,             0.89287,            0.007123,           0.0011128,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.012429,           0.0027623,                   0,             0.99661,             0.99887,             0.99484,             0.89829,           0.0070602,           0.0011004,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.012418,           0.0026693,                   0,             0.99855,              0.9983,             0.99481,             0.89733,           0.0069624,           0.0010881,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.012169,           0.0026368,                   0,             0.99854,             0.99773,             0.99487,             0.89812,           0.0070594,           0.0011047,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.011893,           0.0026697,                   0,             0.99872,              0.9983,             0.99488,             0.90054,           0.0070238,           0.0010856,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.011998,           0.0026643,                   0,             0.99857,             0.99773,             0.99489,             0.90101,           0.0068818,           0.0010786,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.01166,           0.0026402,                   0,             0.99769,              0.9983,             0.99486,             0.90211,            0.006803,           0.0010674,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.011536,           0.0026287,                   0,             0.99718,             0.99941,             0.99485,             0.90106,           0.0066419,           0.0010574,                   0,             0.00076,             0.00076,             0.00076
